Month,Type,Price,Location,Postcode,Bedrooms,Bathrooms,Parking,Garden,Lease Length,Contact
January,House,4390,Dublin City South,Dublin 6W,4,1,Yes,Yes,120,Estate Agent
January,House,5010,Dublin City North,Dublin 7,3,2,Yes,Yes,12,Owner
January,Apartment,1950,Dublin City South,Dublin 18,2,1,No,No,12,Estate Agent
January,House,4870,Dublin City South,Dublin 8,4,1,Yes,Yes,12,Owner
January,House,4920.00,Dublin City Sth.,Dublin 4,3,1,Yes,Yes,6,Estate Agent
January,Apartment,1220,South Co Dublin,,1,1,No,No,3,Estate Agent
January,Apartment,1080,Dublin City South,Dublin 2,1,2,No,No,12,Estate Agent
January,Apartment,1840,South Co Dublin,,1,2,No,No,6,Estate Agent
January,Apartment,1520,Dublin City South,Dublin 2,1,1,Yes,N/A,12,Estate Agent
January,Apartment,1750,North Co Dublin,,2,2,No,No,12,Estate Agent
January,Apartment,2560,Dublin City Nth.,Dublin 1,2,1,No,No,12,Estate Agent
January,Apartment,2600.00,Dublin City Nth.,Dublin 13,2,2,N/A,No,12,Estate Agent
January,Apartment,2270,Dublin City South,Dublin 2,1,1,Yes,No,12,Estate Agent
January,Apartment,1990,Dublin City South,Dublin 6W,2,2,No,No,12,Estate Agent
January,Apartment,1620.00,Dublin City North,Dublin 11,1,1,No,No,6,Estate Agent
January,House,2490,Dublin City North,Dublin 1,3,2,Yes,Yes,12,Estate Agent
January,Apartment,2430,Dublin City Nth.,Dublin 3,1,1,No,No,3,Owner
January,House,3500,Dublin City Sth.,Dublin 16,3,2,Yes,Yes,12,Estate Agent
January,Apartment,1200,Dublin City North,Dublin 1,1,2,No,N/A,12,Owner
January,Apartment,4640,Dublin City South,Dublin 2,3,1,No,No,12,Owner
January,House,4530,Dublin City South,Dublin 20,3,2,Yes,N/A,6,Owner
January,Apartment,1760.00,Dublin City North,Dublin 1,1,1,No,No,12,Owner
January,Apartment,1360,Dublin City Nth.,Dublin 13,1,2,No,No,6,Owner
January,Apartment,990,Dublin City North,Dublin 7,1,2,Yes,No,120,Owner
January,Apartment,1940,Dublin City North,Dublin 1,1,2,No,No,12,Estate Agent
January,Apartment,1940,Dublin City South,Dublin 2,2,1,No,No,12,Estate Agent
January,Apartment,1070,Dublin City Sth.,Dublin 10,1,1,No,No,6,Estate Agent
January,Apartment,2280,Dublin City North,Dublin 1,2,1,Yes,No,12,Estate Agent
January,Apartment,1060,Dublin City North,Dublin 9,2,1,No,No,12,Estate Agent
January,Apartment,1470,Dublin City North,Dublin 11,2,1,No,No,60,Estate Agent
January,Apartment,2980,Dublin City South,Dublin 2,2,2,No,No,12,Estate Agent
January,House,2470,Dublin City Nth.,Dublin 3,4,4,No,Yes,12,Owner
January,House,4970,Dublin City North,Dublin 9,4,4,Yes,Yes,12,Estate Agent
January,House,3250,Dublin City South,Dublin 16,3,2,Yes,Yes,12,Owner
January,Apartment,2100,Dublin City North,Dublin 1,1,1,No,No,60,Estate Agent
January,Apartment,2180,Dublin City Nth.,Dublin 1,1,1,No,No,6,Estate Agent
January,Apartment,2220,Dublin City Sth.,Dublin 18,2,2,N/A,No,12,Estate Agent
January,Apartment,1200,Dublin City South,Dublin 6W,2,1,No,No,6,Owner
January,House,3740,Dublin City Nth.,Dublin 11,3,2,Yes,Yes,12,Estate Agent
January,House,2580.00,Dublin City South,Dublin 22,3,2,Yes,Yes,12,Estate Agent
January,Apartment,790,Dublin City Sth.,Dublin 14,1,2,No,No,6,Owner
January,Apartment,710,Dublin City Nth.,Dublin 11,1,1,Yes,No,120,Owner
January,Apartment,870.00,Dublin City North,Dublin 1,1,2,N/A,No,6,Owner
January,Apartment,1050.00,Dublin City South,Dublin 2,1,2,No,No,12,Estate Agent
January,House,5510,Dublin City South,Dublin 2,4,1,Yes,Yes,12,Estate Agent
January,Apartment,1520,North Co Dublin,,1,1,No,No,12,Estate Agent
January,Apartment,1550,Dublin City North,Dublin 1,1,1,No,No,3,Estate Agent
January,Apartment,880,Dublin City Sth.,Dublin 20,2,2,No,N/A,12,Owner
January,House,3940,Dublin City South,Dublin 2,3,1,Yes,Yes,12,Owner
January,Apartment,1280,Dublin City South,Dublin 2,1,2,No,No,12,Owner
January,House,3130,Dublin City South,Dublin 12,4,1,Yes,Yes,3,Owner
January,Apartment,1050,Dublin City Sth.,Dublin 4,1,1,No,No,12,Estate Agent
January,Apartment,890.00,Dublin City North,Dublin 1,1,2,No,No,12,Estate Agent
January,Apartment,2830,Dublin City South,Dublin 2,2,2,No,No,12,Estate Agent
January,Apartment,1650,Dublin City Nth.,Dublin 1,2,1,Yes,No,12,Estate Agent
January,Apartment,1680,Dublin City North,Dublin 17,1,1,No,No,12,Estate Agent
January,Apartment,1650,Dublin City North,Dublin 17,1,1,No,No,12,Owner
January,Apartment,1190,Dublin City South,Dublin 10,1,2,Yes,No,12,Owner
January,House,2850,Dublin City North,Dublin 1,4,4,Yes,Yes,12,Estate Agent
January,Apartment,1120.00,Dublin City South,Dublin 20,1,1,Yes,No,12,Estate Agent
January,Apartment,1640,North Co Dublin,,1,2,N/A,No,12,Estate Agent
January,House,3350,Dublin City South,Dublin 14,3,1,No,Yes,12,Owner
January,Apartment,2160,Dublin City South,Dublin 2,1,1,No,No,12,Owner
January,Apartment,790,Dublin City South,Dublin 10,1,1,Yes,No, ,Estate Agent
January,Apartment,5010.00,Dublin City South,Dublin 2,3,1,N/A,No,12,Estate Agent
January,Apartment,3250,Dublin City South,Dublin 2,2,2,No,No,12,Estate Agent
January,Apartment,2830,Dublin City South,Dublin 2,2,2,N/A,No,3,Estate Agent
January,House,5380,Dublin City Sth.,Dublin 2,3,2,Yes,Yes,12,Owner
January,Apartment,2320,Dublin City South,Dublin 2,2,1,No,No,12,Estate Agent
January,Apartment,710,Dublin City South,Dublin 20,1,1,N/A,No,12,Estate Agent
January,House,3300,Dublin City North,Dublin 13,3,2,Yes,Yes,3,Owner
January,Apartment,1500,Dublin City North,Dublin 1,2,1,No,No,12,Estate Agent
January,Apartment,1370.00,Dublin City Nth.,Dublin 1,2,2,No,N/A,12,Estate Agent
January,Apartment,1820,Dublin City South,Dublin 8,1,1,No,No,12,Estate Agent
January,House,2930,South Co Dublin,,4,3,Yes,Yes,12,Estate Agent
January,Apartment,2570,Dublin City Sth.,Dublin 2,2,2,No,No,12,Owner
January,Apartment,3440,Dublin City Sth.,Dublin 2,3,2,No,No,12,Owner
January,Apartment,1190.00,Dublin City South,Dublin 2,1,2,No,No,12,Estate Agent
January,House,2490,North Co Dublin,,5,1,No,Yes,12,Estate Agent
January,House,3240,Dublin City North,Dublin 1,4,1,No,Yes,120,Owner
January,Apartment,2190,Dublin City North,Dublin 5,2,2,No,No,12,Estate Agent
January,Apartment,970,Dublin City North,Dublin 9,1,2,Yes,No,12,Estate Agent
January,House,3570,Dublin City South,Dublin 24,3,1,Yes,N/A,12,Owner
January,Apartment,1360,Dublin City North,Dublin 17,1,2,No,N/A,12,Estate Agent
January,House,4880,Dublin City South,Dublin 6W,3,1,Yes,Yes,3,Owner
January,House,4070,South Co Dublin,,4,4,Yes,Yes,3,Owner
January,Apartment,2800,Dublin City Sth.,Dublin 8,2,1,No,No,12,Estate Agent
January,Apartment,1320,Dublin City North,Dublin 1,1,2,No,No, ,Estate Agent
January,Apartment,1310.00,Dublin City North,Dublin 1,1,2,No,No,3,Estate Agent
January,Apartment,1430,Dublin City North,Dublin 11,1,1,No,No,12,Estate Agent
January,House,3340.00,Dublin City North,Dublin 11,3,2,Yes,Yes,12,Estate Agent
January,Apartment,1880,Dublin City North,Dublin 1,2,2,No,No,12,Estate Agent
January,Apartment,1620,Dublin City North,Dublin 9,1,1,Yes,No,12,Estate Agent
January,House,4900,Dublin City South,Dublin 4,4,1,Yes,Yes,3,Estate Agent
January,Apartment,1780,Dublin City Sth.,Dublin 2,1,2,Yes,No,3,Estate Agent
January,Apartment,2320,Dublin City Sth.,Dublin 4,2,2,No,N/A,6,Estate Agent
January,Apartment,1660,South Co Dublin,,1,1,Yes,No,6,Owner
January,Apartment,2130,Dublin City North,Dublin 1,1,2,No,No,12,Estate Agent
January,Apartment,900,Dublin City Nth.,Dublin 1,1,1,No,No,12,Owner
January,Apartment,2020,Dublin City Sth.,Dublin 18,2,1,No,No,12,Estate Agent
January,House,4080,Dublin City South,Dublin 16,4,3,N/A,Yes,12,Estate  Agent
January,Apartment,3510,Dublin City South,Dublin 2,3,1,N/A,No,12,Estate Agent
January,House,3880,Dublin City North,Dublin 5,3,2,Yes,Yes,3,Estate Agent
January,Apartment,2690,Dublin City South,Dublin 4,1,1,No,No,3,Estate  Agent
January,Apartment,1920,Dublin City North,Dublin 5,1,2,No,No,12,Estate Agent
January,House,3260,Dublin City South,Dublin 6W,4,1,No,Yes,3,Owner
January,Apartment,1350,Dublin City South,Dublin 12,1,2,No,No,12,Owner
January,Apartment,1580,Dublin City South,Dublin 4,1,2,Yes,No,3,Estate Agent
January,Apartment,1190,Dublin City Sth.,Dublin 8,1,2,No,No,12,Estate Agent
January,Apartment,1320,Dublin City Nth.,Dublin 1,2,1,No,N/A,60,Estate Agent
January,Apartment,1330.00,Dublin City Sth.,Dublin 10,1,2,No,No,12,Owner
January,Apartment,910,Dublin City North,Dublin 17,2,1,N/A,No,12,Estate Agent
January,Apartment,3660,Dublin City South,Dublin 2,3,2,No,No,12,Estate Agent
January,House,3680.00,Dublin City South,Dublin 2,3,1,Yes,Yes,12,Owner
February,Apartment,2510,Dublin City Sth.,Dublin 16,2,2,No,No,12,Owner
February,Apartment,2810,Dublin City South,Dublin 2,2,1,Yes,No,12,Estate Agent
February,House,6220,Dublin City South,Dublin 18,1,2,Yes,Yes,3,Owner
February,House,5460,Dublin City Nth.,Dublin 1,3,2,Yes,Yes,6,Estate Agent
February,Apartment,1370,Dublin City Nth.,Dublin 17,1,2,No,No,12,Owner
February,Apartment,4920,Dublin City South,Dublin 2,3,2,Yes,No,12,Owner
February,House,2310.00,Dublin City North,Dublin 13,4,2,Yes,Yes,12,Owner
February,Apartment,1840.00,Dublin City North,Dublin 15,1,2,Yes,No,3,Estate Agent
February,Apartment,2800,Dublin City South,Dublin 4,2,2,No,No,12,Estate Agent
February,Apartment,2450,Dublin City North,Dublin 1,3,1,No,No,12,Estate Agent
February,Apartment,1870,South Co Dublin,,1,1,No,No,60,Estate Agent
February,Apartment,1950,Dublin City Sth.,Dublin 2,1,1,No,No, ,Estate Agent
February,Apartment,3200,Dublin City Sth.,Dublin 2,2,1,Yes,No,6,Estate Agent
February,Apartment,1000,Dublin City South,Dublin 18,1,2,No,No,12,Owner
February,Apartment,1770,Dublin City North,Dublin 1,1,1,No,No,12,Estate Agent
February,Apartment,3190.00,Dublin City North,Dublin 1,2,1,Yes,No,3,Estate Agent
February,Apartment,3540,Dublin City Sth.,Dublin 2,3,1,No,No,12,Estate Agent
February,Apartment,2410,Dublin City South,Dublin 4,1,2,No,No,12,Estate Agent
February,Apartment,2040,Dublin City South,Dublin 2,1,1,No,No,12,Estate Agent
February,Apartment,1710.00,Dublin City South,Dublin 6W,2,1,No,No,12,Owner
February,Apartment,2690,Dublin City Sth.,Dublin 2,2,2,No,No,3,Estate Agent
February,Apartment,2310,Dublin City North,Dublin 1,2,1,No,No,12,Estate Agent
February,Apartment,2110,Dublin City North,Dublin 1,3,1,No,No,12,Estate Agent
February,Apartment,2020,Dublin City North,Dublin 1,2,1,Yes,No,6,Estate Agent
February,Apartment,2660,Dublin City North,Dublin 1,2,2,Yes,No,6,Estate Agent
February,House,2870,Dublin City Sth.,Dublin 2,3,2,No,Yes,6,Estate Agent
February,Apartment,2840,Dublin City South,Dublin 2,2,1,No,No,12,Estate Agent
February,Apartment,1880,Dublin City North,Dublin 1,1,1,Yes,No,6,Estate Agent
February,Apartment,900.00,Dublin City North,Dublin 1,1,1,No,No,12,Estate Agent
February,Apartment,1540,Dublin City South,Dublin 2,2,1,No,No,12,Estate Agent
February,Apartment,2400,Dublin City South,Dublin 2,1,1,No,No,12,Estate Agent
February,Apartment,1280,Dublin City North,Dublin 1,1,2,Yes,N/A,12,Owner
February,Apartment,1090,Dublin City Nth.,Dublin 1,2,1,Yes,No,12,Estate Agent
February,Apartment,2360,Dublin City South,Dublin 2,1,2,No,No,12,Owner
February,Apartment,1220,Dublin City North,Dublin 1,1,2,No,No,12,Estate Agent
February,Apartment,1490,Dublin City South,Dublin 22,2,2,No,No,12,Estate Agent
February,Apartment,1060,Dublin City Nth.,Dublin 17,1,1,Yes,No,12,Estate Agent
February,House,2720,Dublin City South,Dublin 22,3,2,Yes,Yes,6,Estate Agent
February,Apartment,2670,Dublin City South,Dublin 4,2,2,No,No,12,Estate Agent
February,Apartment,1060,Dublin City Sth.,Dublin 2,1,1,No,No,12,Estate Agent
February,House,3940,Dublin City South,Dublin 22,3,2,Yes,Yes,120,Estate Agent
February,Apartment,1750.00,Dublin City South,Dublin 6W,2,1,Yes,No,6,Estate Agent
February,House,3400,Dublin City South,Dublin 24,2,2,N/A,Yes,12,Owner
February,Apartment,1890,Dublin City South,Dublin 2,2,1,No,N/A,12,Estate Agent
February,Apartment,4880,Dublin City Nth.,Dublin 1,3,2,No,No,12,Owner
February,Apartment,1130,Dublin City South,Dublin 20,2,1,Yes,No,12,Estate Agent
February,Apartment,2250,Dublin City North,Dublin 1,2,2,No,No,12,Estate Agent
February,Apartment,1450,Dublin City South,Dublin 24,1,1,N/A,No,6,Estate Agent
February,House,3970.00,Dublin City North,Dublin 11,3,2,No,Yes,12,Estate Agent
February,Apartment,3110,Dublin City Sth.,Dublin 2,3,2,No,No,6,Owner
February,Apartment,2890,Dublin City South,Dublin 2,2,1,No,No,12,Estate Agent
February,House,3500,Dublin City North,Dublin 1,3,2,Yes,Yes,12,Owner
February,Apartment,1770.00,North Co Dublin,,2,2,No,No,12,Owner
February,Apartment,2230,Dublin City North,Dublin 1,2,2,No,No,6,Estate Agent
February,House,4760,Dublin City Nth.,Dublin 13,4,1,No,N/A,12,Estate Agent
February,Apartment,1750,Dublin City Nth.,Dublin 17,2,2,No,No,12,Estate Agent
February,Apartment,1440,Dublin City South,Dublin 24,2,2,No,No,12,Estate Agent
February,Apartment,2750,Dublin City North,Dublin 3,2,1,No,No,12,Estate Agent
February,House,4920,North Co Dublin,,4,2,Yes,Yes,3,Estate Agent
February,Apartment,1350,Dublin City North,Dublin 1,2,1,No,No,12,Estate Agent
February,Apartment,1340,Dublin City North,Dublin 3,2,2,Yes,N/A,6,Estate Agent
February,Apartment,1850,Dublin City Sth.,Dublin 2,2,2,No,No,12,Estate Agent
February,Apartment,3190.00,Dublin City Nth.,Dublin 1,2,1,No,No,3,Owner
February,Apartment,1970,Dublin City South,Dublin 8,2,2,No,No,120,Owner
February,House,2590,Dublin City Sth.,Dublin 10,4,4,Yes,Yes,12,Owner
February,Apartment,1250.00,Dublin City North,Dublin 3,2,2,No,No,12,Estate Agent
February,Apartment,1420,Dublin City North,Dublin 1,1,2,No,N/A,12,Owner
February,Apartment,2050,South Co Dublin,,1,2,No,No,12,Owner
February,Apartment,5210,Dublin City Sth.,Dublin 6,3,2,No,No,12,Owner
February,Apartment,1970.00,Dublin City Sth.,Dublin 2,2,2,No,No,12,Estate Agent
February,Apartment,1350,Dublin City North,Dublin 1,1,1,Yes,No,12,Estate Agent
February,House,3170,Dublin City North,Dublin 15,3,2,No,Yes,3,Estate Agent
February,Apartment,2380,Dublin City North,Dublin 11,2,1,No,No,12,Estate Agent
February,Apartment,2870,Dublin City North,Dublin 17,2,2,Yes,No,3,Estate Agent
February,Apartment,3000,Dublin City Nth.,Dublin 9,2,1,No,No,3,Estate Agent
February,Apartment,1450,Dublin City South,Dublin 12,1,1,No,No,12,Estate Agent
February,Apartment,1830,Dublin City North,Dublin 9,1,2,No,No,12,Estate Agent
February,Apartment,4260,South Co Dublin,,3,2,No,No,6,Estate Agent
February,Apartment,2970,Dublin City North,Dublin 1,2,1,No,No,12,Estate Agent
February,House,3760,South Co Dublin,,4,1,Yes,Yes,120,Estate Agent
February,Apartment,990,Dublin City South,Dublin 2,1,2,No,No,12,Estate Agent
February,House,5810,Dublin City South,Dublin 2,4,3,Yes,Yes,12,Estate Agent
February,Apartment,1340,Dublin City South,Dublin 2,1,2,No,No,12,Estate Agent
February,House,4000,Dublin City Sth.,Dublin 20,4,1,Yes,Yes,12,Estate Agent
February,House,6820,Dublin City South,Dublin 4,4,4,Yes,Yes,12,Estate Agent
February,Apartment,2330.00,Dublin City South,Dublin 24,2,2,No,No,12,Estate Agent
February,Apartment,1300,Dublin City North,Dublin 1,1,2,No,No,120,Estate Agent
February,Apartment,1820.00,Dublin City South,Dublin 2,2,2,No,No,12,Estate Agent
February,Apartment,870,Dublin City North,Dublin 1,1,2,No,No,12,Estate Agent
February,Apartment,1470,Dublin City South,Dublin 24,1,1,N/A,No, ,Estate Agent
February,Apartment,960,Dublin City North,Dublin 1,1,2,No,No,12,Estate Agent
February,Apartment,1610,Dublin City North,Dublin 7,2,2,Yes,No,3,Estate Agent
February,Apartment,1060,Dublin City North,Dublin 1,1,1,No,No,12,Owner
February,Apartment,1790,Dublin City North,Dublin 1,1,1,Yes,No,12,Estate Agent
February,Apartment,1650,South Co Dublin,,1,1,No,No,12,Estate Agent
February,Apartment,1090,Dublin City South,Dublin 24,2,1,No,No,12,Estate Agent
February,House,4060,Dublin City North,Dublin 15,3,2,No,Yes,3,Estate Agent
February,Apartment,1130,Dublin City South,Dublin 10,2,2,No,No,120,Estate Agent
February,Apartment,880.00,Dublin City North,Dublin 1,1,1,Yes,No,12,Estate Agent
February,House,6000,Dublin City South,Dublin 4,3,1,Yes,Yes,12,Owner
February,Apartment,1630,Dublin City South,Dublin 4,2,2,No,No,6,Estate Agent
February,Apartment,2800,Dublin City North,Dublin 15,2,2,No,No,3,Estate Agent
February,Apartment,2510,South Co Dublin,,2,2,No,No,120,Estate Agent
February,Apartment,2450.00,Dublin City Nth.,Dublin 1,2,1,Yes,No,12,Estate  Agent
February,Apartment,1550.00,Dublin City North,Dublin 1,1,1,No,N/A,12,Owner
February,Apartment,1940.00,Dublin City North,Dublin 1,1,2,No,No,12,Estate Agent
February,Apartment,1600,Dublin City Nth.,Dublin 1,1,2,No,No,12,Estate Agent
February,Apartment,930,Dublin City South,Dublin 2,1,1,N/A,No,12,Estate Agent
February,Apartment,2070,Dublin City North,Dublin 1,2,1,Yes,No, ,Estate Agent
February,Apartment,1360.00,Dublin City South,Dublin 24,1,1,No,No,6,Estate Agent
February,Apartment,1200,Dublin City Nth.,Dublin 15,2,1,No,No,12,Estate Agent
February,Apartment,1400,Dublin City Sth.,Dublin 2,2,1,No,No,6,Estate Agent
February,Apartment,740,Dublin City North,Dublin 9,1,1,Yes,No,12,Estate Agent
February,Apartment,1780,Dublin City South,Dublin 2,1,2,No,No,12,Estate Agent
February,Apartment,1120,Dublin City South,Dublin 14,1,2,No,No,6,Estate Agent
February,Apartment,2840,Dublin City North,Dublin 1,2,2,No,No,12,Estate Agent
February,Apartment,2880.00,Dublin City South,Dublin 22,3,2,Yes,N/A,120,Estate Agent
February,Apartment,750.00,North Co Dublin,,1,1,Yes,No,12,Estate Agent
February,Apartment,920,Dublin City Nth.,Dublin 1,1,1,No,No,12,Estate Agent
February,House,3350.00,Dublin City North,Dublin 7,4,3,No,Yes,12,Estate Agent
February,Apartment,860,Dublin City North,Dublin 1,1,2,No,N/A,12,Estate Agent
February,Apartment,5080,Dublin City Sth.,Dublin 2,3,1,No,No,12,Estate Agent
February,House,4600,Dublin City South,Dublin 6W,3,1,No,Yes,3,Owner
February,Apartment,2360,Dublin City Nth.,Dublin 1,2,1,No,No,12,Estate Agent
February,House,3230.00,Dublin City North,Dublin 1,4,3,Yes,Yes,12,Estate Agent
February,Apartment,1110,Dublin City Sth.,Dublin 14,1,2,No,No,12,Owner
February,Apartment,1640.00,Dublin City South,Dublin 12,1,1,No,No,12,Owner
February,Apartment,1920,Dublin City South,Dublin 24,2,1,No,No,12,Owner
February,House,2500,Dublin City South,Dublin 6,4,1,No,N/A,12,Owner
February,Apartment,2680,Dublin City South,Dublin 18,3,1,No,No,6,Estate Agent
February,House,3970,Dublin City South,Dublin 22,3,2,No,Yes,120,Estate Agent
February,Apartment,1600,Dublin City North,Dublin 1,1,2,No,No,12,Estate Agent
February,House,3530,Dublin City North,Dublin 9,3,2,Yes,Yes,12,Estate Agent
February,Apartment,2140,Dublin City North,Dublin 1,2,1,Yes,No,12,Estate Agent
February,Apartment,1280,Dublin City Sth.,Dublin 2,1,1,No,No,12,Estate Agent
February,Apartment,2040,Dublin City Nth.,Dublin 1,1,2,No,No,3,Estate Agent
February,Apartment,1580,Dublin City South,Dublin 12,1,1,Yes,No,12,Owner
February,Apartment,4000,Dublin City North,Dublin 1,3,2,No,No,60,Estate Agent
February,Apartment,2330.00,Dublin City Sth.,Dublin 2,1,2,No,No,12,Estate Agent
February,Apartment,1410,Dublin City South,Dublin 20,3,1,No,No,12,Estate Agent
February,House,2230,Dublin City Nth.,Dublin 9,3,1,Yes,Yes,12,Owner
February,Apartment,1080,Dublin City Sth.,Dublin 18,1,1,No,N/A,12,Estate Agent
February,Apartment,1480.00,Dublin City South,Dublin 8,1,1,No,N/A,12,Owner
February,House,4130,Dublin City Sth.,Dublin 22,3,2,Yes,Yes,30,Estate Agent
February,Apartment,1110.00,Dublin City South,Dublin 22,1,1,No,No, ,Estate Agent
February,Apartment,5100.00,Dublin City North,Dublin 3,3,1,No,N/A,12,Estate Agent
February,Apartment,1170,Dublin City Sth.,Dublin 16,1,2,Yes,N/A,3,Owner
February,Apartment,1090,Dublin City South,Dublin 2,1,2,No,No,12,Estate Agent
February,Apartment,1810,Dublin City Sth.,Dublin 2,1,1,No,No,6,Estate Agent
February,Apartment,1130,Dublin City Sth.,Dublin 6W,2,1,N/A,N/A,12,Estate Agent
February,House,3360,Dublin City North,Dublin 1,3,2,No,Yes,3,Estate Agent
February,Apartment,1400,Dublin City South,Dublin 2,1,1,No,No,12,Estate Agent
February,House,3800,Dublin City South,Dublin 12,2,2,Yes,Yes,6,Owner
February,Apartment,1180,Dublin City South,Dublin 2,1,1,Yes,No,6,Estate Agent
